[4, 1, 56, 0, 0, 2, 2, 3, 4, 4, 4, 1, 2, 1, 4, 1.51]
[4, 1, 57, 0, 0, 0, 3, 4, 4, 3, 3, 2, 1, 2, 2, 0.89]
[4, 1, 55, 3, 0, 2, 1, 3, 2, 4, 3, 4, 2, 4, 3, 0.99]
[4, 1, 56, 0, 0, 0, 3, 1, 3, 4, 2, 3, 3, 3, 3, 0.62]
[4, 1, 56, 0, 2, 2, 2, 3, 2, 2, 4, 3, 3, 2, 4, 0.62]
[3, 1, 53, 2, 1, 0, 4, 2, 2, 5, 3, 3, 3, 4, 2, 0.99]
[3, 1, 54, 0, 1, 0, 4, 1, 3, 5, 3, 2, 1, 4, 4, 1.78]
[3, 1, 55, 0, 2, 2, 5, 3, 2, 3, 1, 2, 3, 3, 4, 1.21]
[3, 1, 55, 0, 1, 0, 3, 2, 4, 3, 3, 1, 3, 3, 4, 0.77]
[2, 1, 51, 2, 0, 0, 4, 2, 2, 4, 5, 3, 4, 3, 3, 0.89]
[2, 1, 50, 0, 0, 0, 3, 6, 3, 1, 5, 3, 6, 3, 1, 3.14]
[2, 1, 50, 0, 0, 0, 6, 3, 4, 1, 2, 4, 4, 3, 4, 1.8]
[2, 1, 53, 0, 0, 2, 3, 3, 3, 4, 3, 2, 4, 4, 2, 0.54]
[1, 1, 46, 2, 0, 0, 4, 4, 2, 6, 3, 3, 4, 5, 4, 1.21]
[1, 1, 45, 0, 0, 0, 3, 5, 5, 5, 5, 7, 3, 1, 2, 3.11]
[1, 1, 45, 0, 0, 0, 2, 6, 4, 4, 2, 4, 6, 3, 5, 2.0]
[1, 1, 46, 1, 0, 0, 5, 4, 5, 4, 3, 3, 4, 4, 3, 0.54]
[5, 31, 66, 4, 5, 4, 1, 3, 2, 0, 2, 2, 1, 3, 1, 0.89]
[5, 31, 66, 3, 4, 3, 3, 0, 3, 1, 2, 1, 2, 2, 1, 0.89]
[5, 31, 66, 4, 4, 6, 0, 1, 3, 2, 1, 1, 3, 1, 3, 1.11]
[5, 31, 66, 4, 5, 5, 0, 1, 2, 5, 3, 0, 3, 1, 0, 2.67]
[5, 31, 66, 3, 5, 4, 2, 0, 1, 1, 0, 2, 3, 3, 3, 1.33]
[4, 31, 61, 2, 3, 3, 3, 2, 1, 1, 3, 2, 2, 2, 4, 0.84]
[4, 31, 61, 3, 4, 2, 0, 1, 3, 3, 3, 4, 3, 2, 1, 1.51]
[4, 31, 61, 1, 3, 2, 1, 0, 2, 3, 4, 3, 2, 1, 4, 1.73]
[4, 31, 61, 3, 2, 2, 3, 4, 4, 1, 2, 1, 2, 1, 2, 1.28]
[4, 31, 61, 2, 3, 2, 1, 1, 2, 3, 4, 6, 1, 2, 0, 3.06]
[4, 31, 61, 3, 2, 3, 4, 3, 3, 4, 2, 0, 0, 1, 3, 2.17]
[3, 31, 56, 2, 2, 2, 2, 2, 6, 3, 2, 2, 3, 3, 2, 1.51]
[3, 31, 56, 0, 1, 3, 1, 3, 2, 3, 3, 2, 2, 5, 4, 1.28]
[3, 31, 56, 2, 1, 1, 2, 2, 3, 4, 6, 4, 1, 1, 2, 2.4]
[3, 31, 56, 2, 2, 1, 1, 2, 4, 4, 3, 2, 3, 3, 3, 0.84]
[4, 1, 57, 1, 2, 2, 3, 3, 2, 1, 3, 2, 3, 4, 3, 0.67]
[1, 1, 49, 1, 0, 2, 5, 3, 2, 2, 4, 4, 4, 5, 3, 1.14]
[1, 1, 46, 0, 0, 0, 3, 3, 5, 5, 4, 5, 1, 4, 5, 1.65]
[1, 1, 49, 0, 1, 2, 3, 2, 5, 4, 3, 2, 4, 5, 4, 1.14]
[1, 1, 46, 0, 0, 0, 3, 6, 4, 7, 2, 2, 5, 3, 3, 2.77]
[1, 1, 49, 0, 1, 2, 3, 5, 4, 2, 2, 4, 4, 3, 5, 1.14]
[2, 1, 53, 2, 0, 1, 5, 4, 1, 2, 1, 3, 3, 4, 5, 2.1]
[2, 1, 50, 0, 0, 0, 4, 7, 2, 4, 5, 2, 1, 2, 4, 3.14]
[2, 1, 53, 0, 3, 0, 5, 2, 3, 3, 2, 4, 3, 3, 3, 0.77]
[2, 1, 52, 0, 0, 0, 4, 4, 4, 4, 1, 3, 2, 4, 3, 1.06]
[2, 1, 53, 0, 0, 0, 4, 1, 4, 2, 4, 3, 3, 4, 3, 0.99]
[2, 1, 52, 0, 0, 2, 1, 4, 5, 4, 2, 3, 3, 3, 4, 1.28]
[3, 1, 53, 0, 2, 2, 2, 3, 5, 3, 3, 2, 3, 3, 4, 0.77]
[3, 1, 54, 0, 2, 2, 4, 4, 3, 4, 3, 1, 2, 3, 3, 0.89]
[3, 1, 55, 2, 2, 0, 2, 3, 3, 2, 4, 3, 3, 3, 3, 0.32]
[3, 1, 53, 0, 2, 0, 4, 3, 2, 4, 3, 3, 1, 5, 3, 1.21]
[3, 1, 55, 0, 0, 1, 4, 2, 3, 2, 1, 3, 2, 6, 3, 1.88]
[3, 1, 54, 0, 0, 0, 3, 4, 4, 1, 2, 3, 4, 2, 4, 1.11]
[3, 1, 54, 0, 0, 2, 3, 3, 3, 2, 4, 4, 3, 1, 4, 0.89]
[4, 1, 56, 0, 2, 0, 4, 3, 3, 3, 2, 2, 2, 3, 3, 0.4]
[4, 1, 56, 2, 2, 2, 3, 2, 3, 4, 3, 2, 2, 2, 4, 0.62]
[4, 1, 55, 0, 0, 0, 3, 3, 2, 4, 3, 2, 3, 2, 4, 0.54]
[3, 1, 54, 0, 0, 0, 1, 5, 2, 3, 3, 4, 4, 3, 2, 1.33]
[3, 1, 54, 0, 2, 2, 3, 3, 3, 4, 5, 3, 1, 3, 2, 1.11]
[3, 1, 53, 0, 0, 0, 2, 4, 4, 4, 2, 1, 3, 5, 3, 1.43]
[3, 1, 53, 1, 0, 0, 4, 4, 3, 2, 4, 3, 3, 1, 4, 0.99]
[3, 1, 54, 0, 0, 1, 2, 2, 5, 2, 3, 3, 3, 4, 3, 0.89]
[3, 1, 54, 0, 0, 1, 2, 2, 5, 2, 3, 3, 3, 4, 3, 0.89]
[3, 1, 55, 0, 0, 2, 3, 2, 4, 3, 3, 2, 3, 2, 4, 0.54]
[3, 1, 55, 0, 0, 2, 3, 1, 2, 4, 3, 3, 5, 3, 2, 1.21]
[3, 1, 53, 0, 1, 0, 4, 3, 1, 4, 4, 3, 2, 4, 3, 0.99]
[3, 1, 53, 2, 0, 0, 3, 5, 1, 2, 3, 4, 3, 3, 4, 1.21]
[3, 0, 54, 0, 0, 1, 5, 3, 3, 3, 3, 3, 2, 2, 3, 0.67]
[3, 1, 53, 0, 3, 0, 1, 3, 2, 4, 2, 4, 4, 5, 3, 1.43]
[3, 1, 53, 2, 0, 3, 5, 3, 1, 3, 3, 4, 5, 3, 1, 1.88]
[3, 1, 54, 2, 1, 1, 3, 3, 5, 2, 2, 3, 2, 4, 3, 0.89]
[3, 1, 53, 0, 0, 3, 2, 6, 3, 3, 2, 3, 4, 2, 3, 1.43]
[3, 1, 55, 2, 0, 2, 5, 3, 2, 3, 2, 4, 1, 3, 3, 1.21]
[3, 1, 55, 0, 0, 0, 4, 3, 2, 2, 3, 4, 3, 2, 3, 0.54]
[3, 1, 53, 0, 0, 0, 3, 2, 5, 4, 2, 3, 3, 1, 5, 1.65]
[3, 1, 54, 2, 1, 0, 2, 4, 5, 4, 3, 3, 1, 2, 3, 1.33]
[3, 1, 53, 0, 1, 1, 4, 3, 3, 3, 3, 3, 4, 3, 2, 0.32]
[4, 1, 55, 2, 2, 0, 1, 2, 2, 2, 2, 5, 4, 4, 4, 1.65]
[4, 1, 56, 2, 0, 0, 0, 3, 3, 2, 6, 3, 1, 4, 3, 2.62]
[4, 1, 56, 2, 0, 3, 4, 2, 3, 2, 3, 4, 4, 2, 1, 1.06]
[4, 1, 56, 0, 0, 0, 3, 3, 1, 4, 3, 2, 1, 5, 3, 1.51]
[4, 1, 56, 0, 1, 0, 3, 3, 5, 3, 3, 1, 2, 2, 3, 1.06]
[4, 1, 57, 0, 0, 0, 3, 3, 2, 3, 3, 3, 3, 4, 0, 1.11]
[4, 1, 57, 0, 0, 2, 3, 3, 3, 2, 2, 2, 3, 4, 2, 0.44]
[4, 1, 56, 2, 0, 0, 3, 4, 2, 2, 2, 3, 3, 3, 3, 0.4]
[4, 1, 55, 0, 0, 2, 4, 2, 1, 2, 3, 3, 2, 4, 5, 1.43]
[4, 1, 56, 0, 0, 0, 3, 2, 3, 1, 2, 3, 3, 5, 3, 1.06]
[4, 1, 55, 0, 0, 0, 3, 5, 3, 1, 3, 3, 2, 4, 2, 1.21]
[4, 1, 55, 2, 0, 0, 4, 2, 3, 4, 1, 3, 4, 2, 3, 0.99]
[4, 1, 55, 0, 2, 0, 2, 2, 4, 4, 1, 5, 4, 0, 4, 2.54]
[1, 1, 46, 1, 2, 0, 5, 3, 4, 1, 5, 4, 4, 4, 5, 1.43]
[1, 1, 45, 0, 0, 0, 4, 5, 4, 3, 5, 4, 4, 4, 3, 0.44]
[1, 1, 46, 0, 0, 0, 4, 2, 5, 3, 5, 3, 4, 4, 5, 0.99]
[1, 1, 47, 0, 0, 0, 3, 2, 4, 3, 2, 6, 4, 3, 7, 2.62]
[1, 1, 49, 0, 0, 0, 4, 5, 4, 2, 5, 2, 3, 4, 3, 1.14]
[1, 1, 46, 0, 1, 0, 3, 2, 4, 6, 4, 2, 5, 3, 6, 2.1]
[1, 1, 45, 0, 0, 0, 4, 4, 3, 7, 5, 4, 2, 3, 4, 1.78]
[1, 1, 47, 0, 0, 0, 2, 6, 3, 3, 3, 3, 5, 4, 5, 1.51]
[1, 1, 46, 0, 0, 0, 3, 3, 3, 4, 3, 6, 6, 3, 4, 1.43]
[1, 1, 45, 0, 0, 0, 5, 3, 3, 4, 6, 3, 2, 5, 5, 1.56]
[1, 1, 45, 0, 0, 0, 4, 3, 3, 5, 4, 4, 4, 4, 5, 0.44]
[2, 1, 51, 0, 0, 1, 3, 5, 4, 1, 2, 5, 2, 4, 4, 1.78]
[2, 0, 49, 2, 2, 2, 2, 6, 2, 3, 3, 2, 5, 5, 4, 2.02]
[2, 1, 49, 0, 0, 0, 3, 4, 4, 6, 5, 3, 2, 1, 4, 2.02]
[2, 1, 53, 2, 1, 0, 2, 2, 2, 2, 5, 2, 2, 5, 6, 2.54]
[2, 1, 50, 2, 0, 2, 5, 4, 3, 5, 3, 1, 4, 3, 3, 1.36]
[2, 1, 50, 1, 2, 0, 2, 5, 2, 5, 2, 5, 4, 2, 4, 1.8]
[2, 0, 50, 2, 1, 1, 4, 4, 3, 4, 2, 3, 4, 4, 3, 0.47]
[2, 1, 50, 2, 0, 0, 2, 3, 2, 6, 4, 3, 5, 2, 4, 1.8]
[2, 1, 53, 0, 0, 2, 4, 1, 2, 4, 4, 2, 3, 6, 2, 2.1]
[2, 1, 51, 0, 0, 0, 4, 3, 4, 2, 3, 5, 3, 3, 3, 0.67]
[2, 1, 49, 2, 2, 2, 3, 3, 5, 2, 5, 5, 3, 2, 4, 1.36]
[2, 1, 51, 0, 2, 2, 4, 3, 2, 3, 4, 4, 2, 4, 4, 0.67]
