[[7, 4, 0, 4, 6, 0, 0, 2], [0, 2, 0, 0, 0, 0, 0, 4], [7, 0, 7, 0, 6, 0, 0, 0], [6, 1, 0, 0, 0, 1, 3, 2], [0, 6, 7, 2, 2, 6, 0, 6], [5, 0, 6, 0, 8, 1, 6, 6], [0, 0, 8, 1, 0, 8, 6, 0], [5, 0, 0, 0, 8, 0, 0, 1]]
[[7, 4, 4, 4, 6, 4, 2, 2], [7, 2, 2, 4, 6, 4, 4, 4], [7, 7, 7, 6, 6, 3, 3, 2], [6, 1, 7, 6, 6, 1, 3, 2], [6, 6, 7, 2, 2, 6, 6, 6], [5, 6, 6, 6, 8, 1, 6, 6], [5, 5, 8, 1, 8, 8, 6, 1], [5, 5, 8, 8, 8, 8, 1, 1]]
[[1, 5, 0, 5, 0, 3, 0, 6], [5, 0, 0, 1, 0, 0, 3, 0], [0, 4, 0, 7, 0, 7, 0, 6], [5, 0, 0, 5, 0, 5, 7, 0], [8, 5, 0, 3, 5, 0, 0, 0], [0, 8, 6, 3, 0, 0, 7, 1], [8, 0, 0, 0, 1, 1, 2, 0], [0, 8, 0, 6, 3, 0, 3, 1]]
[[1, 5, 5, 5, 5, 3, 6, 6], [5, 4, 4, 1, 5, 3, 3, 6], [5, 4, 4, 7, 7, 7, 7, 6], [5, 5, 6, 5, 5, 5, 7, 6], [8, 5, 6, 3, 5, 5, 7, 6], [8, 8, 6, 3, 3, 1, 7, 1], [8, 8, 6, 6, 1, 1, 2, 2], [8, 8, 8, 6, 3, 3, 3, 1]]
[[6, 0, 6, 0, 0, 1, 0, 1], [0, 3, 0, 7, 0, 7, 2, 3], [3, 0, 7, 5, 0, 0, 1, 0], [0, 0, 0, 0, 5, 0, 1, 3], [5, 1, 7, 5, 3, 3, 0, 6], [0, 0, 0, 0, 0, 6, 0, 0], [5, 0, 4, 0, 5, 8, 0, 8], [1, 5, 0, 5, 8, 0, 8, 0]]
[[6, 6, 6, 6, 6, 1, 2, 1], [6, 3, 7, 7, 7, 7, 2, 3], [3, 3, 7, 5, 5, 1, 1, 3], [5, 5, 7, 5, 5, 3, 1, 3], [5, 1, 7, 5, 3, 3, 6, 6], [5, 4, 4, 6, 6, 6, 6, 8], [5, 4, 4, 5, 5, 8, 8, 8], [1, 5, 5, 5, 8, 8, 8, 8]]
[[1, 3, 0, 3, 6, 0, 8, 0], [0, 2, 1, 1, 0, 0, 0, 8], [1, 7, 0, 0, 3, 6, 8, 0], [0, 0, 0, 5, 3, 0, 5, 8], [0, 7, 5, 0, 5, 0, 0, 5], [6, 0, 7, 0, 7, 0, 4, 0], [0, 3, 0, 0, 1, 0, 0, 5], [6, 0, 3, 0, 5, 0, 5, 1]]
[[1, 3, 3, 3, 6, 8, 8, 8], [2, 2, 1, 1, 6, 6, 8, 8], [1, 7, 1, 3, 3, 6, 8, 8], [6, 7, 5, 5, 3, 6, 5, 8], [6, 7, 5, 5, 5, 6, 5, 5], [6, 7, 7, 7, 7, 4, 4, 5], [6, 3, 3, 5, 1, 4, 4, 5], [6, 6, 3, 5, 5, 5, 5, 1]]
[[0, 8, 0, 8, 5, 0, 5, 1], [8, 0, 8, 5, 0, 4, 0, 5], [0, 0, 6, 0, 0, 0, 0, 0], [6, 0, 3, 3, 5, 7, 1, 5], [3, 1, 0, 5, 0, 0, 0, 0], [0, 1, 0, 0, 5, 7, 0, 3], [3, 2, 7, 0, 7, 0, 3, 0], [1, 0, 1, 0, 0, 6, 0, 6]]
[[8, 8, 8, 8, 5, 5, 5, 1], [8, 8, 8, 5, 5, 4, 4, 5], [8, 6, 6, 6, 6, 4, 4, 5], [6, 6, 3, 3, 5, 7, 1, 5], [3, 1, 3, 5, 5, 7, 5, 5], [3, 1, 1, 5, 5, 7, 3, 3], [3, 2, 7, 7, 7, 7, 3, 6], [1, 2, 1, 6, 6, 6, 6, 6]]
