[1, 25, 11, 8, 0]
[1, 25, 11, 8, 0]
[1, 25, 14, 8, 1]
[1, 25, 13, 8, 1]
[1, 25, 14, 8, 1]
[1, 25, 14, 8, 1]
[1, 25, 12, 8, 1]
[1, 36, 19, 11, 1]
[1, 36, 18, 11, 1]
[1, 36, 18, 11, 1]
[1, 36, 18, 11, 1]
[2, 25, 15, 8, 0]
[2, 25, 16, 8, 1]
[2, 25, 17, 8, 1]
[2, 25, 17, 9, 1]
[2, 36, 21, 11, 1]
[2, 36, 21, 11, 1]
[2, 36, 20, 11, 1]
[2, 36, 22, 11, 1]
[2, 36, 20, 11, 1]
[2, 36, 20, 13, 1]
[3, 49, 32, 15, 1]
[3, 49, 31, 15, 1]
[3, 49, 29, 15, 1]
[3, 49, 30, 15, 1]
[3, 49, 30, 15, 1]
[3, 49, 27, 15, 1]
[3, 64, 32, 17, 1]
[3, 64, 37, 17, 1]
[3, 64, 36, 17, 1]
[3, 64, 38, 17, 1]
[4, 49, 34, 15, 1]
[4, 49, 31, 15, 1]
[4, 49, 32, 15, 1]
[4, 49, 31, 15, 1]
[4, 64, 41, 17, 1]
[4, 64, 41, 18, 1]
[4, 64, 38, 18, 1]
[4, 64, 39, 17, 1]
[4, 64, 45, 17, 1]
[4, 64, 42, 17, 1]
